gender,length,diameter,height,fullweight,fishweight,visceralweight,shellweight,rings
M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,1
M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11
M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15
M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9
M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9
M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9
M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8
M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11
I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6
I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8
I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7
I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9
I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5
I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7
I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8
I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8
I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9
I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8
I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7
I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10
I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7
I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7
I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9
I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3
I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5